TBE [%],TBR_req,I_startup [kg]
0.001,2.01,21.9252896822651
0.005,1.2,4.43176952935204
0.01,1.105,2.24740092090796
0.02,1.06,1.15579077547328
0.03,1.045,0.792131710839751
0.04,1.035,0.610767749935599
0.05,1.03,0.501835001956315
0.1,1.02,0.284081260750278
