t_res,TBR_req,I_startup [kg],I_res [kg]
1,1.045,0.485895194254042,0.040455
2,1.045,0.526374225948314,0.08091
4,1.05,0.606569333270945,0.16182
8,1.055,0.767759338284877,0.32364
16,1.065,1.09023042578821,0.64728
24,1.075,1.41280076395813,0.97092
48,1.1,2.38144093483078,1.94184
