TBE,TBR_req,I_startup [kg]
0.001,1.73999999999998,27.2110696798995
0.005,1.16,5.48654574264898
0.01,1.09,2.77217301241459
0.02,1.045,1.41691952564096
0.03,1.035,0.964597598551872
0.04,1.025,0.739408813463246
0.05,1.025,0.603158422676942
0.1,1.015,0.332721895623043
