TBE,TBR_req,I_startup [kg]
0.001,2.25999999999997,27.190154783072
0.005,1.26,5.47889428659787
0.01,1.135,2.76751298809864
0.02,1.075,1.41280076395813
0.03,1.05,0.962251461138451
0.04,1.04,0.736788288004831
0.05,1.035,0.601395790642102
0.1,1.025,0.330692782267207
