TBE,TBR_req,I_startup [kg]
0.001,3.13999999999995,27.1634438875472
0.005,1.43999999999999,5.47007734434175
0.01,1.225,2.76094560641202
0.02,1.12,1.40824520622734
0.03,1.085,0.958016440230968
0.04,1.065,0.733412831598047
0.05,1.055,0.598526640827395
0.1,1.035,0.329027545578974
