t_TES (h),TBR,I_startup (kg),I_TES (g)
1,1.14,2.8,2.7
2,1.14,2.8,5.5
8,1.14,2.8,21.95
24,1.15,2.85,66.4
72,1.15,2.94,199
240,1.17,3.26,674
