t_TES (h),TBR,I_startup (kg),I_TES (g)
1,1.27,5.5,3.1
2,1.27,5.5,6.2
8,1.27,5.5,24.8
24,1.27,5.54,74.4
72,1.28,5.6,224
240,1.3,5.9,759
