f_dir,TBR,I_startup (kg)
0.1,1.16,3.05
0.2,1.15,2.951
0.3,1.15,2.8503
0.4,1.14,2.7505
0.5,1.13,2.6506
0.6,1.12,2.5508
0.7,1.11,2.4511
0.8,1.11,2.3503
0.9,1.11,2.2496
