t_blanket [h],TBR_req,I_startup [kg],Blanket_inventory [g]
1,1.26,5.4782502997309,3.29421857338379
2,1.26,5.4808161202064,6.38613850762344
8,1.26,5.49564708831038,24.9146232570083
24,1.265,5.53005138639581,74.5967509740758
72,1.27,5.61870345971227,224.149251587982
240,1.295,5.90019482836602,760.12781956036
