t_res,TBR_req,I_startup [kg],I_res [kg]
1,1.025,0.230715827262626,0.016182
2,1.025,0.246908902658813,0.032364
4,1.025,0.279295053451262,0.064728
8,1.03,0.343160103913536,0.129456
16,1.03,0.472699057505631,0.258912
24,1.035,0.601395790642102,0.388368
48,1.045,0.988462194625388,0.776736
