t_res,TBR_req,I_startup [kg],I_res [kg]
1,1.08,0.911552054316143,0.08091
2,1.085,0.991884914951441,0.16182
4,1.09,1.15318929447903,0.32364
8,1.1,1.47585324091205,0.64728
16,1.115,2.12185603555931,1.29456
24,1.135,2.76751298809864,1.94184
48,1.195,4.70534791496282,3.88368
