t_blanket [h],TBR_req,I_startup [kg],Blanket_inventory [g]
1,1.075,1.41219548320786,2.75043282030263
2,1.075,1.41461419246931,5.32912111176987
8,1.075,1.4289521421176,20.781519040798
24,1.075,1.4652477873231,61.975982230857
72,1.085,1.56301726618575,187.223781542474
240,1.105,1.88348748117376,634.395738695628
