f_dir,TBR,I_startup (kg)
0.1,1.05,0.7333
0.2,1.05,0.714
0.3,1.05,0.6946
0.4,1.04,0.6768
0.5,1.04,0.6574
0.6,1.04,0.638
0.7,1.04,0.6187
0.8,1.04,0.5993
0.9,1.04,0.5799
