f_dir,TBR_req,I_startup [kg]
0.1,1.295,5.88936597309154
0.2,1.275,5.68426841176079
0.3,1.26,5.47889428659787
0.4,1.245,5.27353687417988
0.5,1.23,5.06819792877231
0.6,1.215,4.86287937423588
0.7,1.195,4.65794398754464
0.8,1.18,4.4526883699872
0.9,1.165,4.24746241171049
