f_dir,TBR_req,I_startup [kg]
0.1,1.15,2.97160738271631
0.2,1.145,2.86933795723032
0.3,1.135,2.76751298809864
0.4,1.13,2.66525380869379
0.5,1.12,2.56346437181063
0.6,1.11,2.46170492879299
0.7,1.105,2.35946804842346
0.8,1.095,2.25775386784382
0.9,1.09,2.15553275166462
