f_dir,TBR_req,I_startup [kg]
0.1,1.08,1.51395842352466
0.2,1.075,1.46367475049214
0.3,1.075,1.41280076395813
0.4,1.07,1.36252610433622
0.5,1.065,1.31226589380502
0.6,1.06,1.26202171191682
0.7,1.06,1.21113364774686
0.8,1.055,1.16090073923278
0.9,1.05,1.11068657544865
