f_dir,TBR,I_startup (kg)
0.1,1.09,1.602
0.2,1.09,1.5521
0.3,1.08,1.5034
0.4,1.08,1.4535
0.5,1.08,1.4036
0.6,1.07,1.3549
0.7,1.07,1.305
0.8,1.06,1.2564
0.9,1.06,1.2065
