epsi,TBR_req,I_startup [kg]
0.01,0,0
0.001,0,0
0.0005,0,0
0.0001,0,0
1e-05,1.03,0.598235408913792
1e-06,1.03,0.598140186704706
1e-07,1.03,0.598130684179151
