epsi,TBR_req,I_startup [kg]
0.01,0,0
0.001,0,0
0.0005,0,0
0.0001,0,0
1e-05,1.06,1.40492725060105
1e-06,1.06,1.40473787509549
1e-07,1.06,1.40471898265941
