epsi,TBR_req,I_startup [kg]
0.01,0,0
0.001,0,0
0.0005,0,0
0.0001,0,0
1e-05,2.01,5.42228776247137
1e-06,2.01,5.42209212809411
1e-07,2.01,5.42207256430379
