TBE [%],TBR_req,I_startup [kg]
0.001,2.01,21.9252896822651
0.005,1.16,4.43518359766356
0.01,1.085,2.24970648762235
0.02,1.05,1.15721382798462
0.03,1.035,0.793735721659702
0.04,1.03,0.611629118483571
0.05,1.025,0.502750004593251
0.1,1.02,0.284081260750376
