TBE [%],TBR_req,I_startup [kg]
0.001,2.25999999999999,27.1386275373199
0.005,1.25999999999999,5.46833372468989
0.01,1.135,2.7622535279671
0.02,1.075,1.41019725133652
0.03,1.05,0.96053336367037
0.04,1.04,0.735512953021245
0.05,1.035,0.600386132288275
0.1,1.025,0.330214503302492
