TBE [%],TBR_req,I_startup [kg]
0.001,3.515,40.8383819070894
0.005,1.41499999999999,8.21467464013308
0.01,1.21,4.13041515341924
0.02,1.11,2.08810728674638
0.03,1.075,1.40765438610956
0.04,1.06,1.0671381279733
0.05,1.05,0.862999272620061
0.1,1.03,0.454880589008381
