epsi,TBR_req,I_startup [kg]
1.00E-02,3.7,2.85
0.001,1.365,2.761635102
0.0005,1.24,2.755880762
0.0001,1.135,2.751786346
1.00E-05,1.11,2.750990283
1.00E-06,1.11,2.741048109
1.00E-07,1.11,2.750658399
