epsi,TBR_req,I_startup [kg]
1.00E-02,1.555,0.62
0.001,1.08,0.600611841
0.0005,1.055,0.59936796
0.0001,1.035,0.598376843
1.00E-05,1.03,0.598235409
1.00E-06,1.03,0.598140187
1.00E-07,1.03,0.598130684
