TBE [%],TBR_req,I_startup [kg]
0.1,2.51,27.1818979021104
0.5,1.26,5.47889428659787
1,1.135,2.76751298809864
2,1.075,1.41280076395813
3,1.05,0.962251461138431
4,1.04,0.736788310388677
5,1.04,0.60061301621102
10,1.035,0.329304940395177
