TBE,Pf/Pfmax,TBR_req,I_st,f_he
0.0036,0.985703123,1.258,4.165637704,0.001806503
0.007555868,0.970228131,1.125,1.995399787,0.003806697
0.01148045,0.955114722,1.084,1.320553676,0.005806891
0.019237227,0.92592837,1.052,0.796363713,0.009807278
0.030646798,0.8845948,1.035,0.506432785,0.015807859
0.038106834,0.858557879,1.031,0.409829027,0.019808247
0.073748486,0.744136716,1.018,0.21608343,0.039810184
0.106843204,0.651153245,1.014,0.149197609,0.05981212
0.137654574,0.574568342,1.012,0.114421129,0.079814057
0.166411025,0.510740965,1.012,0.092584468,0.099815994
0.285536363,0.308881238,1.012,0.046278352,0.199825679
0.444348778,0.147999548,1.012,0.021983916,0.399845048
0.545398512,0.086532794,1.011,0.01444077,0.599864417
0.615350229,0.056701893,1.011,0.01099119,0.799883786
0.705868948,0.029729693,1.011,0.008049613,1.199922524
0.8,0.012345679,1.011,0.006222981,2
