eta_f,f_b,eta_f * f_b,TBR,I_startup (kg)
0.25,0.20,5.0%,1.06,0.9
0.25,0.16,4.0%,1.065,1.1
0.25,0.12,3.0%,1.09,1.4
0.25,0.08,2.0%,1.125,2.1
0.25,0.04,1.0%,1.22,4.1
0.25,0.02,0.5%,1.46,8.2
0.25,0.0036,0.1%,3.72,45
