eta_f,f_b,eta_f * f_b,TBR,I_startup (kg)
0.25,0.20,5.0%,1.035,0.5
0.25,0.16,4.0%,1.045,0.6
0.25,0.12,3.0%,1.045,0.8
0.25,0.08,2.0%,1.065,1.15
0.25,0.04,1.0%,1.1,2.2
0.25,0.02,0.5%,1.21,4.5
0.25,0.0036,0.1%,2.08,24.3


