TBE [%],TBR_req,I_startup [kg]
0.001,1.96999999999999,27.1486183215794
0.005,1.2,5.47250395800048
0.01,1.105,2.76519908053103
0.02,1.06,1.41209477039277
0.03,1.04,0.962042683191895
0.04,1.035,0.73631476456473
0.05,1.03,0.601228711235097
0.1,1.02,0.33116533397298
