TBE [%],TBR_req,I_startup [kg]
0.001,2.50999999999999,40.9545134593454
0.005,1.30999999999999,8.22756726708605
0.01,1.16,4.13677523666234
0.02,1.085,2.09148835024293
0.03,1.06,1.40980430516945
0.04,1.045,1.06940317589906
0.05,1.04,0.86455559041768
0.1,1.025,0.455770458198558
