eta_f,f_b,eta_f * f_b,TBR,I_startup (kg)
0.25,0.20,5.0%,1.025,0.6
0.25,0.16,4.0%,1.025,0.7
0.25,0.12,3.0%,1.03,0.89
0.25,0.08,2.0%,1.05,1.2
0.25,0.04,1.0%,1.08,2.3
0.25,0.02,0.5%,1.13,4.5
0.25,0.0036,0.1%,1.68,24

