time[s],m_in
196,1.60065472627822e-06
197,1.60874717789352e-06
198,1.61683888126776e-06
199,1.62492983647019e-06
200,1.63302004357004e-06
201,1.6411095026366e-06
202,1.64919821373909e-06
203,1.65728617694679e-06
204,1.66537339232891e-06
205,1.67345985995469e-06
206,1.68154557989329e-06
207,1.68963055221402e-06
208,1.69771477698603e-06
209,1.70579825427854e-06
210,1.71388098416075e-06
211,1.72196296670185e-06
212,1.73004420197101e-06
213,1.73812469003742e-06
214,1.74620443097024e-06
215,1.75428342483864e-06
216,1.76236167171177e-06
217,1.77043917165881e-06
218,1.77851592474885e-06
219,1.78659193105108e-06
220,1.79466719063461e-06
221,1.80274170356856e-06
222,1.81081546992206e-06
223,1.81888848976424e-06
224,1.82696076316419e-06
225,1.83503229019098e-06
226,1.84310307091376e-06
227,1.85117310540157e-06
228,1.85924239372351e-06
229,1.86731093594865e-06
230,1.87537873214607e-06
231,1.88344578238483e-06
232,1.891512086734e-06
233,1.89957764526258e-06
234,1.90764245803965e-06
235,1.91570652513424e-06
236,1.92376984661537e-06
237,1.93183242255208e-06
238,1.93989425301337e-06
239,1.94795533806825e-06
240,1.95601567778574e-06
241,1.96407527223481e-06
242,1.97213412148451e-06
243,1.98019222560378e-06
244,1.98824958466158e-06
245,1.99630619872693e-06
246,2.00436206786874e-06
247,2.01241719215604e-06
248,2.02047157165774e-06
249,2.02852520644277e-06
250,2.03657809658012e-06
251,2.04463024213868e-06
252,2.05268164318739e-06
253,2.06073229979519e-06
254,2.06878221203099e-06
255,2.07683137996367e-06
256,2.08487980366215e-06
257,2.09292748319534e-06
258,2.10097441863209e-06
259,2.10902061004134e-06
260,2.11706605749192e-06
261,2.12511076105271e-06
262,2.13315472079261e-06
263,2.14119793678041e-06
264,2.149240409085e-06
265,2.15728213777523e-06
266,2.16532312291996e-06
267,2.17336336458796e-06
268,2.18140286284809e-06
269,2.18944161776918e-06
270,2.19747962942002e-06
271,2.20551689786944e-06
272,2.2135534231862e-06
