eta_f,f_b,eta_f * f_b,TBR,I_startup (kg)
0.25,0.20,5.0%,1.04,0.7
0.25,0.16,4.0%,1.04,0.8
0.25,0.12,3.0%,1.04,1.05
0.25,0.08,2.0%,1.05,1.5
0.25,0.04,1.0%,1.09,2.8
0.25,0.02,0.5%,1.16,5.5
0.25,0.0036,0.1%,1.82,30
