eta_tes,TBR_req,I_startup [kg],I_tes [g]
0.4,1.265,5.54077719238664,176.508202272858
0.6,1.265,5.50496787769198,117.731062188166
0.8,1.26,5.48744300925678,87.9822236819247
0.9,1.26,5.48142985923075,78.2138430637979
0.95,1.26,5.47889428659787,74.1003866528579
