f_dir,TBR_req,I_startup [kg]
0.1,1.15,2.97160738271631
0.2,1.145,2.86933795723032
0.3,1.135,2.76751298809864
0.4,1.13,2.66525380869374
0.5,1.12,2.56346406724669
0.6,1.12,2.46074362993832
0.7,1.12,2.3580271227189
0.8,1.12,2.25531469239029
0.9,1.12,2.15260579177472
