f_dir,TBR_req,I_startup [kg]
0.1,1.08,1.51395842352466
0.2,1.075,1.46367475049214
0.3,1.075,1.41280076395813
0.4,1.07,1.36252610433618
0.5,1.065,1.31226589373161
0.6,1.06,1.262021583276
0.7,1.06,1.21113353565201
0.8,1.06,1.16024755341644
0.9,1.06,1.10936336348442
