eta_TES,TBR,I_startup (kg),I_tes (g)
0.4,1.09,1.90,213
0.6,1.09,1.90,142.3
0.8,1.09,1.90,106.7
0.9,1.09,1.90,94
0.95,1.09,1.90,89
