t_blanket (h),TBR,I_startup (kg),I_blanket (g)
1,1.075,1.24,3
2,1.075,1.24,5
8,1.075,1.26,20
24,1.08,1.29,58
72,1.08,1.39,175
240,1.11,1.9,597
