t_blanket (h),TBR,I_startup (kg),I_blanket (g)
1,1.27,5.54,3
2,1.27,5.55,6
8,1.27,5.56,23
24,1.27,5.6,69
72,1.28,5.67,207
240,1.3,5.9,701
